Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-YesR2R-256,dotnet6,arm64,yes,yes,57177,256MB,AVERAGE,20,242.429,1065.283,57.525,15.222,3.781,3.844,12.788,3.328,6.367,9.308,4.54,7.527,7.282,6.878,7.689,7.848,6.62,7.603,8.457,7.345,8.715,8.913,13.667,9.064,9.011,5.279,4.729,243.324
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-YesR2R-512,dotnet6,arm64,yes,yes,57177,512MB,AVERAGE,20,241.463,467.931,8.967,3.631,3.469,4,2.666,2.1,2.496,2.7,7.95,4.079,4.289,4.939,4.777,4.679,6.252,3.905,6.643,2.39,2.559,3.352,2.404,2.286,3.697,2.438,3.999,100.659
SystemTextJson,SystemTextJson-Net6-x64-NoTC-NoR2R-1024,dotnet6,x86_64,no,no,48289,1024MB,AVERAGE,20,284.692,201.422,3.42,2.233,2.239,2.157,1.966,2.3,1.999,2.8,2.532,3.173,2.703,2.466,3.585,2.073,2.121,3.18,2.116,2.157,2.421,2.568,2.198,2.379,2.462,2.309,2.142,61.693
SystemTextJson,SystemTextJson-Net6-x64-NoTC-NoR2R-128,dotnet6,x86_64,no,no,48289,128MB,AVERAGE,20,266.384,1788.405,74.415,35.851,13.579,16.734,7.362,6.194,10.099,8.684,6.912,18.998,15.086,6.089,16.386,14.017,8.972,20.782,11.127,4.02,5.643,7.099,7.549,13.093,14.592,7.9,3.453,354.629
SystemTextJson,SystemTextJson-Net6-x64-NoTC-NoR2R-1769,dotnet6,x86_64,no,no,48289,1769MB,AVERAGE,20,272.152,120.366,6.57,2.996,2.397,2.209,2.308,2.366,3.503,2.058,2.623,2.389,2.298,2.881,2.377,2.267,2.681,2.618,2.631,2.567,2.209,2.157,2.132,2.255,1.958,2.577,2.181,65.204
SystemTextJson,SystemTextJson-Net6-x64-NoTC-NoR2R-256,dotnet6,x86_64,no,no,48289,256MB,AVERAGE,20,282.626,894.132,23.019,6.813,7.262,3.32,3.575,2.55,3.539,3.894,3.031,2.722,6.563,5.15,2.715,2.84,6.19,2.595,3.222,2.264,2.489,2.445,2.255,2.579,3.865,4.097,3.528,112.517
SystemTextJson,SystemTextJson-Net6-x64-NoTC-NoR2R-512,dotnet6,x86_64,no,no,48289,512MB,AVERAGE,20,280.306,422.327,6.029,2.603,3.388,2.051,2.398,3.98,2.007,1.992,5.363,2.269,6.356,2.893,3.518,5.045,3.411,2.894,2.386,2.758,2.142,1.866,1.966,2.258,2.289,2.329,1.775,75.957
SystemTextJson,SystemTextJson-Net6-x64-NoTC-YesR2R-1024,dotnet6,x86_64,no,yes,59149,1024MB,AVERAGE,20,262.611,196.326,5.602,2.472,2.154,2.129,2.583,3.24,2.067,2.73,2.795,2.635,2.899,2.137,2.237,2.092,3.181,3.386,2.408,2.463,3.225,1.888,2.804,1.963,2.128,2.847,1.986,66.044
SystemTextJson,SystemTextJson-Net6-x64-NoTC-YesR2R-128,dotnet6,x86_64,no,yes,59149,128MB,AVERAGE,20,271.958,1744.191,81.892,30.41,9.365,9.031,6.159,7.891,7.343,5.737,24.205,10.3,16.973,10.409,7.535,5.038,7.283,8.941,6.598,6.715,6.631,7.45,8.592,9.723,4.534,5.365,9.149,313.265
SystemTextJson,SystemTextJson-Net6-x64-NoTC-YesR2R-1769,dotnet6,x86_64,no,yes,59149,1769MB,AVERAGE,20,264.733,115.416,4.348,2.846,1.994,2.012,1.987,1.912,2.491,1.899,3.703,3.344,2.679,2.905,3.173,2.976,1.962,3.008,2.392,1.922,2.235,2.697,2.051,2.07,2.492,1.853,1.853,62.799
SystemTextJson,SystemTextJson-Net6-x64-NoTC-YesR2R-256,dotnet6,x86_64,no,yes,59149,256MB,AVERAGE,20,284.846,880.99,19.464,6.526,3.442,3.79,4.138,5.752,3.097,3.074,4.683,4.272,5.191,5.178,7.368,6.296,2.669,2.437,5.613,4.307,4.4,5.769,4.076,6.12,5.038,3.631,4.278,130.601
SystemTextJson,SystemTextJson-Net6-x64-NoTC-YesR2R-512,dotnet6,x86_64,no,yes,59149,512MB,AVERAGE,20,276.059,414.147,4.995,3.951,2.503,2.225,2.626,2.185,2.452,4.043,2.314,2.054,3.63,2.555,2.19,2.159,2.482,2.025,2.151,3.168,1.964,4.269,2.429,2.228,2.153,2.106,2.568,67.42
